sample_id,biosample,other_sample_id,collaborator_sample_id,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,animal_type,animal_ecomode,Clade_Order,Family,Diet,Diet_Detailed,Habitat,Metamorphosis,Reproduction,sex,svl,weight,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab,temp_code,,,,,,,,,,,,,,,,,,,,,,,,,
STP84,STP84,NA,NA,cryo,wild,fecal,water,Y,Plethodon metcalfi,Plethodon,metcalfi,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,48,,5/6/2014,GA,rabun,Blue Ridge,Southern Crystalline Ridges and Mountains,Rabun Bald,34.97921,-83.30302,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP87,STP87,NA,NA,cryo,wild,fecal,water,Y,Plethodon metcalfi,Plethodon,metcalfi,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,45,,5/6/2014,GA,rabun,Blue Ridge,Southern Crystalline Ridges and Mountains,Rabun Bald,34.97921,-83.30302,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP89,STP89,NA,NA,cryo,wild,fecal,water,Y,Plethodon metcalfi,Plethodon,metcalfi,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,49,,5/6/2014,GA,rabun,Blue Ridge,Southern Crystalline Ridges and Mountains,Rabun Bald,34.97921,-83.30302,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP90,STP90,NA,NA,cryo,wild,fecal,water,Y,Plethodon metcalfi,Plethodon,metcalfi,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,39,,5/6/2014,GA,rabun,Blue Ridge,Southern Crystalline Ridges and Mountains,Rabun Bald,34.97921,-83.30302,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP100,STP100,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,60,,5/7/2014,NC,macon,Blue Ridge,Southern Crystalline Ridges and Mountains,Wayah Gap - Appalachian Trail,35.15398,-83.5801,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP101,STP101,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,29,,5/7/2014,NC,macon,Blue Ridge,Southern Crystalline Ridges and Mountains,Wayah Gap - Appalachian Trail,35.15398,-83.5801,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP102,STP102,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,58,,5/7/2014,NC,macon,Blue Ridge,Southern Crystalline Ridges and Mountains,Wayah Gap - Appalachian Trail,35.15398,-83.5801,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP103,STP103,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,32,,5/7/2014,NC,macon,Blue Ridge,Southern Crystalline Ridges and Mountains,Wayah Gap - Appalachian Trail,35.15398,-83.5801,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP105,STP105,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,45,,5/7/2014,NC,macon,Blue Ridge,Southern Crystalline Ridges and Mountains,Wayah Gap - Appalachian Trail,35.15398,-83.5801,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP106,STP106,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,56,,5/7/2014,NC,macon,Blue Ridge,Southern Crystalline Ridges and Mountains,Wayah Gap - Appalachian Trail,35.15398,-83.5801,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
